Topic,Words,Frequency,Timestamp,Global_Representation
33,"frightful, delightful, nutzt winterliche, schneegestöber, winterliche wetter",34,1990-1994,Wintersturm und heimische Geborgenheit
34,"sandmann, nächtliches wiegenlied, zärtliches wiegenlied, schlaflied, lullaby entfaltet",35,1990-1994,Sandmann – nächtliches Schlaflied
35,"bildschirme, bissiger, bevölkerung, bitter sarkastischer, computer",614,1990-1994,Digitale Entfremdung und Bürokratie
36,"herz gold, as gold, pyramide, pyramid, fool gold",17,1990-1994,Goldene Alchemie der Liebe
37,"snoop, dogg, cypress, cypress hill, snoop dogg",29,1990-1994,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"glücksspiels, kartenspiels, kartenspiel, roulette, spielers",52,1990-1994,"Kartenspiele, Würfel und Roulette"
39,"amerikanischen traums, indigenen, cherokee, demokratie, american dream",119,1990-1994,"Amerikas Patriotismus, Indigene und Schuld"
40,"bekenntnis bedingungsloser, stay together, stand by, bedingungslose unterstützung, bekenntnis bedingungslose",258,1990-1994,Bedingungslose Unterstützung und Verlässlichkeit
41,"boy blues, singen blues, wort blues, poor boy, musikalisches genre",47,1990-1994,Blues-Textanalyse: Verlust und Sehnsucht
42,"amerikanischen westens, prärie, reiter, indianer, jesse james",67,1990-1994,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, autumn leaves, laubs, indian summer, sommerwind",102,1990-1994,Herbstliche Symbolik von Verlust
45,"fluss steht, by river, riverside, unaufhaltsamen strom, walk water",124,1990-1994,Fluss‑Metaphern in Liedtexten
46,"euro dance, beispiel frühe, frühe 90er, körperliche lust, body talk",297,1990-1994,Erotische Süßmetaphern in Pop
48,"los los, york city, chinatown, urbaner entfremdung, philadelphia",129,1990-1994,"New York: Stadt, Kultur, Musik"
49,"indigo, baby blue, blue blue, blue inneres, no sunshine",72,1990-1994,Blaues Symbol für Traurigkeit
50,"monolog zerrissenheit, liverpool, ausgestoßenen, reed, swirl",287,1990-1994,Ständige Flucht und innere Zerrissenheit
51,"raumschiff, paradies ort, aliens, astronaut, shangri",84,1990-1994,Weltraum‑Utopie Shangri‑La
52,"browns, james browns, any harder, godfather, make funky",13,1990-1994,Funk‑Call‑Response bei James Brown
53,"mcs, ll cool, wu, 90er hip, wu tang",187,1990-1994,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
55,"mae, hollywoods, honky tonkin, tonkin, honky",14,1990-1994,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, weihnachtsbotschaft, christi, geburt christi",29,1990-1994,Stille Nacht – Heilige Geburt
57,"zappa, zappas, überspitztes, moo, satirischer kommentar",269,1990-1994,Zappa‑Ästhetik und satirische Provokation
58,"anastasia, barbara, blüht, lena, rose steht",47,1990-1994,Rote Rosen Symbolik in Liedern
59,"show must, spuren tränen, must go, sabotage, ramshackle",117,1990-1994,Fassade vs innere Verzweiflung
60,"cold outside, cold heart, cold cold, harley, vater schwester",75,1990-1994,"Kälte außen, Herz erstarrt"
62,"schmetterlings, schmetterling, rosengarten, sommertagen, freiheit zerbrechlichkeit",8,1990-1994,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"nas, 2pac, niggas, queensbridge, compton",42,1990-1994,Urbaner Rap und soziale Dynamik
64,"jingle, sleigh, weihnachtslied, weihnachtskarten, jingle bells",21,1990-1994,Klassisches Weihnachtslied mit Schlitten
-1,"gig, sailor, euro dance, späten 90er, 1998",5121,1995-1999,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog verzweiflung, monolog zerrissenheit, monolog sprecherin, monolog selbstzweifeln, monolog erinnerung",1756,1995-1999,Zerrissener innerer Monolog und Selbstreflexion
1,"rave, euro dance, beispiel späte, scooter, körperliche bewegung",594,1995-1999,Rave‑Kultur: kollektiver Tanz
2,"nutzt regens, let rain, nutzt wetter, äußere wetter, raining",167,1995-1999,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, merry christmas, weihnachtsfest, weihnachtsmann, mistelzweig",207,1995-1999,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"bissiger, buy love, bissiger kommentar, prominenz, überspitztes",278,1995-1999,Bissige Satire über Geldliebe
5,"niggas, straßenlebens, finanzieller unabhängigkeit, schießereien, streben finanzieller",248,1995-1999,"Straßenrap: Luxus, Drogen, Gewalt"
6,"driver, fortbewegungsmittel, motorrad, verlangen geschwindigkeit, fahrers",165,1995-1999,"Fahrzeug, Fahrer und Mobilität"
7,"liebe allumfassende, liebesmanifest, klassisches liebesmanifest, dimension liebe, klassisches bekenntnis",909,1995-1999,Allumfassendes Liebesmanifest
8,"zugfahrt, lokomotive, choo, choo choo, gleis",76,1995-1999,Zugmetaphern in moderner Musik
9,"selbstzerstörung verzweifelten, breakdown, intensives innenleben, zerrissenen psyche, samurai",839,1995-1999,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, christi, ave, beziehung gott, bekenntnis christlicher",138,1995-1999,Christliche Glaubensbekenntnis und Anbetung
11,"fire entfaltet, spiel feuer, entfaltet leidenschaftlicher, ana, feuers intensive",112,1995-1999,Feuer als Metapher für Liebe
12,"angel eyes, reinheit schutz, angel entfaltet, fallen angel, gefallenen engels",102,1995-1999,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, eindringlicher protest, umweltzerstörung, wütender protest, entwirft düsteres",536,1995-1999,Umweltzerstörung: Protest der Bevölkerung
14,"moon entfaltet, blue moon, dream little, little dream, mondlichts",116,1995-1999,Sommerliebe im Mondlicht
15,"jah, mitzuwirken, ungerechtigkeiten, zukunft gestalten, kollektive gewissen",314,1995-1999,Kollektiver Aufruf zur Gerechtigkeit
16,"avalon, schiffes, segelns, sail away, seereise",236,1995-1999,"Maritime Reisen, Mythen und Hafen"
17,"like home, way home, ort emotionaler, this house, wahre zuhause",189,1995-1999,Heimweh und Rückkehr
18,"innenleben sehnsucht, intensives ringen, love inneres, intensives innenleben, unerwiderter liebe",1838,1995-1999,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestes, aufruf bewussten, motivierender, verantwortung leben, manifestierter aufruf",502,1995-1999,Aufruf zur Selbstbestimmung und Resilienz
20,"mcs, hop szene, deutschen hip, deutschen rap, rap szene",199,1995-1999,"Deutschrap: Gewalt, Identität, Szene"
21,"bethlehem, hirten, christi, inkarnation, geburt jesu",86,1995-1999,Weihnachtsgeschichte: Geburt Jesu
22,"verlangen selbstschutz, verlangen selbstzerstörung, addiction, beziehung verlangen, emotionalen abhängigkeit",454,1995-1999,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kentucky, kaliforniens, bluegrass, idaho, alabama",27,1995-1999,Amerikanische Reise‑ und Freiheitslyrik
24,"befreiung toxischen, ringen selbstbehauptung, erdrückenden beziehung, passiver opferrolle, ende toxischen",363,1995-1999,Selbstbefreiung aus toxischer Beziehung
25,"over rainbow, fliegen akt, überwinden begrenzungen, blackbird, ikarus",304,1995-1999,"Flug über Regenbogen, Begrenzungen"
26,"begegnung geliebten, wodurch liebe, love entfaltet, zweier seelen, liebesmanifest",439,1995-1999,Allumfassende kosmische Liebesbegegnung
27,"mutter quelle, emotionales tribut, teddy, sohn beziehung, mütterliche liebe",85,1995-1999,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"one baby, barkeeper, johnnie, alcohol, charley",55,1995-1999,"Alkohol, Bar, Herzschmerz, Flucht"
29,"fool love, goody, blöd, kind fool, foolish heart",80,1995-1999,Selbstbezeichnung als Narr in Beziehungen
30,"baby come, cry baby, up phone, long distance, wobei telefon",122,1995-1999,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, typisches pop, euro dance, jugendlicher leidenschaft, beispiel späte",605,1995-1999,Jugendliche Pop‑Liebeserklärung
32,"lääve, flower child, childhood, erwachsenseins, forever young",172,1995-1999,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"frightful, eisblumen, nutzt winterliche, schneeflocken, delightful",51,1995-1999,Wintersturm und heimische Geborgenheit
34,"sandmann, schlaf wiegt, kind schlaf, zärtliches wiegenlied, nächtliches wiegenlied",36,1995-1999,Sandmann – nächtliches Schlaflied
35,"bevölkerung, algorithmen, kaleidoskopischer kommentar, computer, bildschirme",722,1995-1999,Digitale Entfremdung und Bürokratie
36,"wanderin, once had, diamanten sand, black diamond, avatar",10,1995-1999,Goldene Alchemie der Liebe
37,"snoop, dogg, snoop dogg, west coast, cypress",90,1995-1999,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"lady luck, kartenspiels, würfel, gambler, queen hearts",50,1995-1999,"Kartenspiele, Würfel und Roulette"
39,"amerikanischen traums, american dream, jonny, miss america, indigenen",100,1995-1999,"Amerikas Patriotismus, Indigene und Schuld"
40,"bekenntnis bedingungsloser, bedingungsloser unterstützung, bekenntnis bedingungslose, unerschütterlicher loyalität, wants live",319,1995-1999,Bedingungslose Unterstützung und Verlässlichkeit
41,"house blues, blues tradition, wort blues, morning blues, mailman",27,1995-1999,Blues-Textanalyse: Verlust und Sehnsucht
42,"dixie, reiter, wild horses, crockett, klassische western",53,1995-1999,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"herbstes, autumn, sommerwind, laubs, frühjahr",105,1995-1999,Herbstliche Symbolik von Verlust
45,"by river, fluss steht, undertow, underwater, umspült",135,1995-1999,Fluss‑Metaphern in Liedtexten
46,"euro dance, dance ära, beispiel euro, sexual, körperliche verlangen",303,1995-1999,Erotische Süßmetaphern in Pop
48,"los los, harlem, york city, honky, tonk",123,1995-1999,"New York: Stadt, Kultur, Musik"
49,"indigo, no sunshine, wort blue, shade blue, blue inneres",83,1995-1999,Blaues Symbol für Traurigkeit
50,"ready made, hee, kaleidoskopisches fragment, bugs, topsy",307,1995-1999,Ständige Flucht und innere Zerrissenheit
51,"spaceman, raumschiff, neverland, karawane, imaginäres refugium",106,1995-1999,Weltraum‑Utopie Shangri‑La
52,"browns, james browns, funk ästhetik, study, fred",7,1995-1999,Funk‑Call‑Response bei James Brown
53,"busta, busta rhymes, wu, tang, wu tang",311,1995-1999,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
54,"deluxe, samy, samy deluxe, rap handwerk, verstopfung",4,1995-1999,Samy Deluxe und deutsche Rapszene
55,"hollywoods, bayern, falstaff, dolores, holly",22,1995-1999,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, christi, geburt christi, weihnachtsbotschaft",34,1995-1999,Stille Nacht – Heilige Geburt
57,"zappa, überspitztes, zappas, bloodhound, fettes",373,1995-1999,Zappa‑Ästhetik und satirische Provokation
58,"rose steht, barbara, blümchen, rose entfaltet, ramblin",69,1995-1999,Rote Rosen Symbolik in Liedern
59,"camouflage, flipside, mug, voyeur, björk",156,1995-1999,Fassade vs innere Verzweiflung
60,"cold outside, mandy, ramona, gefrorene, freezing",79,1995-1999,"Kälte außen, Herz erstarrt"
62,"schmetterlings, schmetterling, kribbeln, leichtigkeit schönheit, butterfly kisses",16,1995-1999,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"nas, dmx, niggas, thugs, 2pac",145,1995-1999,Urbaner Rap und soziale Dynamik
64,"jingle, sleigh, jingle bells, weihnachtskarten, weihnachtslied",36,1995-1999,Klassisches Weihnachtslied mit Schlitten
-1,"gig, wyclef, sean, sean paul, 2000er jahren",6014,2000-2004,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog verzweiflung, monolog sprecherin, monolog zerrissenheit, monolog verlangen, monolog erinnerung",2067,2000-2004,Zerrissener innerer Monolog und Selbstreflexion
1,"frühe 2000er, tanzmusik, beispiel frühe, rave, djs",684,2000-2004,Rave‑Kultur: kollektiver Tanz
2,"nutzt regens, wetterphänomen, äußere wetter, raining, let rain",181,2000-2004,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, weihnachtsfest, merry christmas, weihnachtsmann, mistelzweig",218,2000-2004,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"bissiger, bissiger kommentar, prominenz, ching, celebrity",340,2000-2004,Bissige Satire über Geldliebe
5,"gangsta, niggas, 50 cent, pimp, 2000er hip",381,2000-2004,"Straßenrap: Luxus, Drogen, Gewalt"
6,"mercury, driver, motoren, fahrers, mustang",128,2000-2004,"Fahrzeug, Fahrer und Mobilität"
7,"liebe allumfassende, liebesmanifest, intensives bekenntnis, wodurch liebe, klassisches liebesmanifest",887,2000-2004,Allumfassendes Liebesmanifest
8,"zugfahrt, love train, eisenbahn, gleis, choo",74,2000-2004,Zugmetaphern in moderner Musik
9,"selbstzerstörung verzweifelten, intensives innenleben, bleibt düsteres, zerrissenheit reihe, zerrissenen psyche",941,2000-2004,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, theologische, jericho, christi, vertrauen göttliche",152,2000-2004,Christliche Glaubensbekenntnis und Anbetung
11,"light fire, eternal flame, leidenschaft zerstörung, wobei feuer, funeral",144,2000-2004,Feuer als Metapher für Liebe
12,"angel eyes, engel steht, schutzengels, fallen angel, angel entfaltet",126,2000-2004,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, eindringlicher protest, regime, wütender protest, dogmen",576,2000-2004,Umweltzerstörung: Protest der Bevölkerung
14,"sommerliebe, luna, sommerromanze, moon entfaltet, la luna",99,2000-2004,Sommerliebe im Mondlicht
15,"jah, rastafari, leidenschaftlicher aufruf, kollektive gewissen, manifestes",375,2000-2004,Kollektiver Aufruf zur Gerechtigkeit
16,"segelns, schiffes, sail away, möwen, avalon",206,2000-2004,"Maritime Reisen, Mythen und Hafen"
17,"heim ort, way home, ort emotionaler, like home, wahre zuhause",201,2000-2004,Heimweh und Rückkehr
18,"innenleben sehnsucht, intensives innenleben, sehnsucht selbstschutz, intensives ringen, sehnsucht selbstzweifeln",2148,2000-2004,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestes, manifestierter aufruf, manifestes bekenntnis, motivierender, botschaft selbstermächtigung",660,2000-2004,Aufruf zur Selbstbestimmung und Resilienz
20,"ferris, deutschen rap, deutschen hip, mcs, rap szene",353,2000-2004,"Deutschrap: Gewalt, Identität, Szene"
21,"hirten, bethlehem, christi, inkarnation, noel",61,2000-2004,Weihnachtsgeschichte: Geburt Jesu
22,"verlangen selbstschutz, kreislauf verlangen, verlangen selbstzerstörung, verführerischen gefährlichen, beziehung verlangen",544,2000-2004,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kaliforniens, kansas, kentucky, kansas city, basie",43,2000-2004,Amerikanische Reise‑ und Freiheitslyrik
24,"erdrückenden beziehung, befreiung toxischen, beziehung befreien, manifest selbstbefreiung, ende toxischen",454,2000-2004,Selbstbefreiung aus toxischer Beziehung
25,"blackbird, irdischen beschränkungen, over rainbow, überwinden begrenzungen, lerche",285,2000-2004,"Flug über Regenbogen, Begrenzungen"
26,"liebe kosmische, begegnung geliebten, liebeserfahrung, kraft geliebten, liebe transzendenter",456,2000-2004,Allumfassende kosmische Liebesbegegnung
27,"tic, toc, bindung mutter, tic toc, väterliche figur",103,2000-2004,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"barkeeper, letzte bier, jack ripper, sex with, ripper",67,2000-2004,"Alkohol, Bar, Herzschmerz, Flucht"
29,"fools love, fool love, not love, hopelessly, twitch",114,2000-2004,Selbstbezeichnung als Narr in Beziehungen
30,"sms, leitung, baby come, operator, up phone",140,2000-2004,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, jugendlicher leidenschaft, typisches pop, bekenntnis jugendlicher, liebesmanifest",567,2000-2004,Jugendliche Pop‑Liebeserklärung
32,"rückblick unbeschwerte, rollercoaster, erwachsenseins, little one, craig",161,2000-2004,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"frightful, winterliche wetter, nutzt winterliche, delightful, gedämpfte",67,2000-2004,Wintersturm und heimische Geborgenheit
34,"sandmann, zärtliches wiegenlied, nächtliches wiegenlied, la le, le lu",37,2000-2004,Sandmann – nächtliches Schlaflied
35,"kommentar entfremdung, wütender protest, computer, bitter sarkastischer, bevölkerung",751,2000-2004,Digitale Entfremdung und Bürokratie
36,"gold entfaltet, heart gold, silver gold, schatzes, wertvollem",21,2000-2004,Goldene Alchemie der Liebe
37,"snoop, dogg, snoop dogg, west coast, gangsta",116,2000-2004,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"mau, mau mau, würfel, kartenspiels, roulette",56,2000-2004,"Kartenspiele, Würfel und Roulette"
39,"amerikanischen traums, patriotische, patriotismus, american dream, indigenen",122,2000-2004,"Amerikas Patriotismus, Indigene und Schuld"
40,"bekenntnis bedingungsloser, stand by, bedingungsloser unterstützung, bekenntnis bedingungslose, klassisches bekenntnis",359,2000-2004,Bedingungslose Unterstützung und Verlässlichkeit
41,"blues ersten, bessie, blues musikalisches, musikalisches genre, have blues",38,2000-2004,Blues-Textanalyse: Verlust und Sehnsucht
42,"cowgirl, ranger, rodeo, reiter, prärie",57,2000-2004,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, fallenden blätter, herbstes, sommerwind, summer wind",131,2000-2004,Herbstliche Symbolik von Verlust
45,"fluss steht, waterfall, flusses fluss, stetige fließen, steht unbewusste",116,2000-2004,Fluss‑Metaphern in Liedtexten
46,"unmittelbarer körperlicher, biene, frühe 2000er, körperliche verlangen, körperlicher anziehung",407,2000-2004,Erotische Süßmetaphern in Pop
47,"bushido, unantastbarer, bushido positioniert, deutschen rap, sonny black",32,2000-2004,Bushido: Selbstinszenierung im deutschen Rap
48,"los los, york city, west virginia, new yorks, yorks",124,2000-2004,"New York: Stadt, Kultur, Musik"
49,"indigo, wort blue, no sunshine, blau traurigkeit, blue blue",55,2000-2004,Blaues Symbol für Traurigkeit
50,"run run, are born, some are, aufruf flucht, wort run",368,2000-2004,Ständige Flucht und innere Zerrissenheit
51,"shangri, shangri la, xanadu, raumfahrt, arabian",113,2000-2004,Weltraum‑Utopie Shangri‑La
52,"browns, beschrieben down, moralische dimensionen, stärkt authentizität, verantwortung bildung",2,2000-2004,Funk‑Call‑Response bei James Brown
53,"busta, busta rhymes, niggas, wu, eminems",451,2000-2004,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
54,"samy, deluxe, samy deluxe, hamburg, deutschen hip",43,2000-2004,Samy Deluxe und deutsche Rapszene
55,"hollywoods, la land, inn, filmindustrie, filmwelt",31,2000-2004,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, christi, geburt christi, weihnachtsbotschaft",33,2000-2004,Stille Nacht – Heilige Geburt
57,"zappa, deichkind, überspitztes, satirischer kommentar, pimp",431,2000-2004,Zappa‑Ästhetik und satirische Provokation
58,"rose steht, blüht, rut, schwarze rose, rose entfaltet",67,2000-2004,Rote Rosen Symbolik in Liedern
59,"leech, masquerade, tears clown, great pretender, pretender",181,2000-2004,Fassade vs innere Verzweiflung
60,"cold outside, cold cold, eisberg, cold heart, gefrorene",91,2000-2004,"Kälte außen, Herz erstarrt"
61,"aggro, fler, aggro berlin, spitze wobei, rand spitze",1,2000-2004,Deutschrap‑Battle: Farid Bang & Szene
62,"schmetterling, schmetterlings, schmetterlinge stehen, nervöse, butterblume",27,2000-2004,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"nas, dmx, niggas, 2pac, ja rule",161,2000-2004,Urbaner Rap und soziale Dynamik
64,"jingle, sleigh, weihnachtszeit, jingle bells, used know",41,2000-2004,Klassisches Weihnachtslied mit Schlitten
65,"eko, eko fresh, savas, deutschen rap, deutschen hip",9,2000-2004,"Eko Fresh: Status, Kritik, Selbstinszenierung"
-1,"gig, sean, dancehall, sean paul, chakuza",6732,2005-2009,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"monolog sprecherin, monolog verzweiflung, monolog erinnerung, monolog zerrissenheit, monolog resignation",2344,2005-2009,Zerrissener innerer Monolog und Selbstreflexion
1,"körperliche bewegung, tanzmusik, rave, späten 2000er, manifestierter aufruf",688,2005-2009,Rave‑Kultur: kollektiver Tanz
2,"äußere wetter, regens steht, nutzt regens, rain monolog, let rain",245,2005-2009,Regen als Symbol gebrochener Liebe
3,"weihnachtszeit, merry christmas, weihnachtsfest, claus, weihnachtsmanns",243,2005-2009,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"bissiger, bissiger kommentar, prominenz, satirischer kommentar, celebrity",371,2005-2009,Bissige Satire über Geldliebe
5,"50 cent, niggas, illegale, hustlers, gangsta",522,2005-2009,"Straßenrap: Luxus, Drogen, Gewalt"
6,"driver, fahrzeugs, rodeo, pedal, auto freiheit",160,2005-2009,"Fahrzeug, Fahrer und Mobilität"
7,"liebe allumfassende, liebesmanifest, intensives bekenntnis, schnuffel, wodurch liebe",772,2005-2009,Allumfassendes Liebesmanifest
8,"zugfahrt, choo, lokomotive, choo choo, voranschreiten lebens",76,2005-2009,Zugmetaphern in moderner Musik
9,"selbstzerstörung verzweifelten, skelett, bleibt düsteres, sprache manifestiert, klaustrophobischen",1128,2005-2009,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, vertrauen göttliche, christi, beziehung gott, bekenntnis christlicher",132,2005-2009,Christliche Glaubensbekenntnis und Anbetung
11,"wobei feuer, nutzt feuers, fiebers, verzehrende, lodernden",160,2005-2009,Feuer als Metapher für Liebe
12,"angel eyes, guardian angel, engel steht, guardian, little angel",101,2005-2009,Engel‑Ikonografie: Reinheit und Fall
13,"bevölkerung, eindringlicher protest, wütender protest, eliten, apokalypse",717,2005-2009,Umweltzerstörung: Protest der Bevölkerung
14,"sommerliebe, dream little, little dream, other words, sommerromanze",93,2005-2009,Sommerliebe im Mondlicht
15,"jah, nneka, leidenschaftlicher aufruf, kollektive gewissen, rastafari",439,2005-2009,Kollektiver Aufruf zur Gerechtigkeit
16,"segelns, avalon, sail away, piraten, seemanns",235,2005-2009,"Maritime Reisen, Mythen und Hafen"
17,"heimweh, way home, winding, long winding, winding road",222,2005-2009,Heimweh und Rückkehr
18,"innenleben sehnsucht, intensives innenleben, sehnsucht selbstschutz, zerrissene innenleben, love inneres",2340,2005-2009,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"manifestierter aufruf, manifestes, aufruf bewussten, champion, gestalten anstatt",847,2005-2009,Aufruf zur Selbstbestimmung und Resilienz
20,"deutschen rap, deutschen hip, rap szene, sido, savas",478,2005-2009,"Deutschrap: Gewalt, Identität, Szene"
21,"hirten, bethlehem, christi, noel, inkarnation",90,2005-2009,Weihnachtsgeschichte: Geburt Jesu
22,"verlangen selbstschutz, addiction, ringen verlangen, beziehung verlangen, verlangen selbstzerstörung",654,2005-2009,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"kaliforniens, kansas city, kansas, louisiana, kalifornien steht",51,2005-2009,Amerikanische Reise‑ und Freiheitslyrik
24,"befreiung toxischen, erdrückenden beziehung, better off, einseitigen beziehung, ringen selbstbehauptung",573,2005-2009,Selbstbefreiung aus toxischer Beziehung
25,"blackbird, over rainbow, fliegen steht, somewhere over, sternwunsches",280,2005-2009,"Flug über Regenbogen, Begrenzungen"
26,"begegnung geliebten, sternschnuppe, liebe alltägliche, liebeserfahrung, liebe transzendenter",459,2005-2009,Allumfassende kosmische Liebesbegegnung
27,"rolle mutter, mutter quelle, mütterlicher liebe, fatima, vater kind",115,2005-2009,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"bulldog, red wine, pandora, wobei alkohol, nächtlichen bar",65,2005-2009,"Alkohol, Bar, Herzschmerz, Flucht"
29,"win again, only fool, fools like, fool love, fool bezeichnet",97,2005-2009,Selbstbezeichnung als Narr in Beziehungen
30,"ring ring, cry baby, telefonnummer, kommunikationskultur, sehnsucht selbstzweifeln",137,2005-2009,Telefonische Kommunikation und Entfremdung
31,"jugendlicher verliebtheit, jugendlicher leidenschaft, liebesmanifest, jugendlicher liebe, typisches pop",539,2005-2009,Jugendliche Pop‑Liebeserklärung
32,"rückblick unbeschwerte, nachdenklicher rückblick, handtuch, were young, time flies",199,2005-2009,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"frightful, nutzt winterliche, schneeflocken, delightful, eisblumen",104,2005-2009,Wintersturm und heimische Geborgenheit
34,"sandmann, beruhigender befehl, nächtliches wiegenlied, sandman, go sleep",30,2005-2009,Sandmann – nächtliches Schlaflied
35,"bildschirme, kommentar entfremdung, kommentar gesellschaft, bevölkerung, wütender protest",762,2005-2009,Digitale Entfremdung und Bürokratie
36,"deeply, diamonds are, pure gold, kriegerin, feuerland",32,2005-2009,Goldene Alchemie der Liebe
37,"snoop, dogg, snoop dogg, gangsta, west coast",91,2005-2009,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"roulette, kartenspiels, glücksspiels, würfel, lady luck",68,2005-2009,"Kartenspiele, Würfel und Roulette"
39,"amerikanischen traums, sheriff, indigenen, miss america, amerikas",93,2005-2009,"Amerikas Patriotismus, Indigene und Schuld"
40,"stand by, bekenntnis bedingungsloser, bedingungsloser unterstützung, verlässlicher anker, bekenntnis bedingungslose",400,2005-2009,Bedingungslose Unterstützung und Verlässlichkeit
41,"singing blues, sing blues, felt more, kkk, more like",16,2005-2009,Blues-Textanalyse: Verlust und Sehnsucht
42,"rodeo, lasso, wild horses, amerikanischen westens, floyd",54,2005-2009,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"indian summer, indian, autumn, if go, laubs",125,2005-2009,Herbstliche Symbolik von Verlust
44,"kollegah, kollegahs, unantastbarer, rap szene, goldkette",27,2005-2009,Kollegah: Luxus‑Rap und Machtdemonstration
45,"by river, fluss steht, skaten, leiche, marian",136,2005-2009,Fluss‑Metaphern in Liedtexten
46,"girlfriend, körperliche verlangen, jugendlicher verführung, unmittelbarer körperlicher, usher",461,2005-2009,Erotische Süßmetaphern in Pop
47,"bushido, bushido positioniert, deutschen rap, bushidos, sonny",58,2005-2009,Bushido: Selbstinszenierung im deutschen Rap
48,"los los, york city, urbaner entfremdung, york stadt, baker street",127,2005-2009,"New York: Stadt, Kultur, Musik"
49,"no sunshine, shades blue, blue inneres, sunshine when, indigo",55,2005-2009,Blaues Symbol für Traurigkeit
50,"square one, ulysses, run run, wort run, break away",481,2005-2009,Ständige Flucht und innere Zerrissenheit
51,"astronaut, spaceman, raumschiff, shangri, shangri la",107,2005-2009,Weltraum‑Utopie Shangri‑La
52,"ringtones, press record, echter musikalischer, wandel einstigen, verschwinden authentischer",1,2005-2009,Funk‑Call‑Response bei James Brown
53,"busta, wu, eminems, wu tang, tang",209,2005-2009,Busta Rhymes: Aggressive Street‑Hip‑Hop Analyse
54,"samy, deluxe, samy deluxe, hamburg, deutschen hip",52,2005-2009,Samy Deluxe und deutsche Rapszene
55,"hollywoods, bergman, streben berühmtheit, highlife, schwedischen",39,2005-2009,Hollywood‑Glanz und Vergänglichkeit
56,"silent night, holy night, weihnachtsbotschaft, christi, mother child",41,2005-2009,Stille Nacht – Heilige Geburt
57,"zappa, überspitztes, deichkind, provokanter kommentar, späten 2000er",476,2005-2009,Zappa‑Ästhetik und satirische Provokation
58,"blüht, barbara, rose steht, schade, wildwood",71,2005-2009,Rote Rosen Symbolik in Liedern
59,"masquerade, sabotage, rehab, life party, revenge",242,2005-2009,Fassade vs innere Verzweiflung
60,"cold outside, what becomes, wobei eis, vater schwester, cold turkey",111,2005-2009,"Kälte außen, Herz erstarrt"
61,"fler, farid, farid bang, aggro, ufo361",41,2005-2009,Deutschrap‑Battle: Farid Bang & Szene
62,"schmetterlings, schmetterling, raupe, cadence, caterpillar",27,2005-2009,Schmetterlingssymbolik in zwischenmenschlichen Beziehungen
63,"nas, dmx, compton, niggas, dre",100,2005-2009,Urbaner Rap und soziale Dynamik
